UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Fort Lauderdale_Bass Park,7.17E-07,5.82E-07,1.23E-06,0,0,0,2.24E-07,5.82E-07,0,1.57E-07,0,1.90E-07,3.26E-08,0,0,0,0,0,0,0,0,0,1.79E-05,-0.000682167,1,grassland
Fort Lauderdale_Bayview Park,0.000577196,0.000221347,0.000404847,7.83E-05,0.000320473,0,0.000225118,0.000662404,1.40E-05,2.39E-05,4.36E-06,9.53E-05,0.00024137,0,0,0.000158343,0.000474673,0.04,0.003888889,0.036111111,0.032632657,0.007367343,0.000338373,-0.359730937,1,mean_ndwi
Fort Lauderdale_Beach Community Center,0.000180346,0.000117303,0.000170546,0,7.20E-05,0,0.000109311,0.000210853,1.40E-05,5.21E-06,8.10E-06,4.95E-06,0.000274872,0,6.80E-08,2.83E-05,0.000148877,0,0.01320192,-0.01320192,0.003982214,-0.003982214,0.000305067,-0.225891879,1,Athletic_facility
Fort Lauderdale_Benenson Park,1.63E-05,2.06E-05,0,2.56E-05,2.02E-05,0,3.27E-06,2.33E-05,2.74E-06,3.29E-07,0,5.27E-08,1.43E-07,1.78E-06,0,0,1.16E-05,0,0,0,0,0,5.06E-05,0.038287561,1,water
Fort Lauderdale_Bill Keith Preserve,0.000190023,7.11E-05,3.09E-05,0.000313574,0.0001409,0,0.000118148,0.00016878,9.95E-06,9.04E-05,6.21E-05,1.16E-05,0,0.000124384,0,3.66E-05,0.000145233,0.025641026,0,0.025641026,0.019588149,0.006052877,0.000374814,-0.1565523,1,water
Fort Lauderdale_Bryant Peney Park,0.001096808,0.001084467,0.000594102,2.00E-05,3.52E-05,0,0.002699887,0.000964257,0,3.75E-05,1.76E-05,0.000268948,3.56E-05,7.00E-05,0,0.00015346,0.001136231,0.066666667,0,0.066666667,0.053815527,0.01285114,0.000581448,-0.809171588,1,mean_ndvi
Fort Lauderdale_Bubier Park,4.35E-06,9.16E-07,7.44E-08,2.70E-08,3.44E-07,0,4.37E-06,2.17E-06,0,8.32E-09,1.98E-07,6.38E-07,0,0,0,0,3.08E-06,0,0.000530786,-0.000530786,0.000100318,-0.000100318,4.39E-06,-0.346959391,1,mean_ndvi
Fort Lauderdale_Carter Park-Sunland Park,0.000404266,0.000132848,0.000554241,1.15E-05,7.71E-06,0,0.00081408,0.000504412,0,5.11E-06,9.32E-06,0.000150473,2.03E-06,0,0,3.76E-05,0.0003132,0.016393443,0,0.016393443,0.016708373,-0.00031493,0.000741961,-0.109108756,1,mean_ndvi
Fort Lauderdale_Cliff Lake Park,0.000129527,0.000797456,0.000137839,4.10E-09,1.15E-06,0,0.000313358,0.000292343,1.55E-06,2.25E-05,7.38E-05,8.70E-06,5.70E-08,0,0,6.34E-07,0.000106374,0,0.005555556,-0.005555556,0.000422788,-0.000422788,0.000379986,-0.29616228,1,tree
Fort Lauderdale_Colee Hammock Park,7.76E-06,1.08E-05,9.35E-07,3.61E-07,5.99E-07,0,9.55E-06,4.07E-06,5.51E-07,2.06E-07,5.56E-07,3.44E-06,4.11E-07,0,7.65E-07,5.90E-07,3.05E-05,0.006369427,9.38E-05,0.006275583,0.004991678,0.001377749,3.36E-05,-0.06792865,1,Biodiversity
Fort Lauderdale_Coontie Hatchee Park,6.22E-05,4.40E-05,2.26E-05,0.000219401,1.91E-05,0,2.56E-05,3.10E-05,1.11E-05,9.12E-06,8.01E-06,0,0,0.000108861,0,1.18E-05,1.68E-05,0,0.001314924,-0.001314924,0.000284188,-0.000284188,0.000340148,-0.050334501,1,water
Fort Lauderdale_D.C. Alexander Park,5.33E-05,1.53E-05,4.66E-05,2.63E-06,1.18E-07,0,0.000141611,0.000141621,3.17E-05,2.51E-05,9.07E-06,9.00E-06,5.43E-06,0,3.59E-08,1.34E-07,8.00E-05,0,0.006425753,-0.006425753,0.001269168,-0.001269168,4.54E-05,-0.440297557,1,mean_ndwi
Fort Lauderdale_Dottie Mancini Park,0.000281229,3.83E-05,0.000262078,0,0.00021561,0,0.00021165,0.000344071,4.91E-06,1.81E-06,5.35E-06,6.18E-06,4.99E-06,0,0,9.77E-08,0.000137601,0,0.010666667,-0.010666667,0.00036928,-0.00036928,0.000275825,-0.096015026,1,mean_ndwi
Fort Lauderdale_Earl Lifshey Park,0.000110552,0.000129222,0.000103517,1.20E-05,5.99E-05,0,9.32E-05,8.78E-05,2.42E-05,4.55E-05,6.13E-06,4.53E-06,0.000273857,0,0,1.17E-05,0.000177055,0,0.001409006,-0.001409006,0.000526766,-0.000526766,0.000329385,-0.323612306,1,Athletic_facility
Fort Lauderdale_Esplanade Park,3.05E-07,2.03E-08,1.95E-05,2.08E-09,0,0,1.41E-05,1.59E-07,1.58E-08,2.17E-05,2.24E-06,0,9.17E-06,0,0,0,7.89E-08,0,0,0,0,0,0.000669303,-0.009042633,1,Kids_Playground
Fort Lauderdale_Esterre Davis Wright Park,0.000936514,0.000232165,0.000102068,0.000183713,0.000129341,0,0.0003993,0.000238229,2.53E-05,7.04E-05,6.30E-05,4.02E-05,5.27E-06,0.000164285,0,2.86E-05,0.000533043,0,0.015264283,-0.015264283,0.001745733,-0.001745733,0.000424944,-0.323379669,1,area
Fort Lauderdale_Flamingo Park,2.76E-05,5.53E-05,3.43E-06,0.00020315,9.15E-05,0,2.29E-05,0.000130489,5.22E-06,8.72E-05,6.87E-05,9.61E-06,2.32E-06,0.000119323,0,2.06E-06,4.19E-05,0,0.002855622,-0.002855622,0.000242728,-0.000242728,6.53E-05,-0.242367611,1,water
Fort Lauderdale_Florence C. Hardy Park,1.25E-06,1.07E-07,4.62E-08,2.82E-08,2.10E-07,0,1.70E-06,3.31E-07,0,0,0,4.34E-07,0,0,0,0,1.56E-07,0,0,0,0,0,0.000296443,-0.005040123,1,mean_ndvi
Fort Lauderdale_Floyd Hull Stadium,0.001363058,0.001332643,0.000494338,2.97E-05,2.63E-05,0,0.002053839,0.000250785,0,7.22E-05,1.37E-05,7.21E-05,0.000115019,7.81E-05,0,0.000109807,0.001114111,0,0,0,0.001595726,-0.001595726,0.000611017,-0.902855388,1,mean_ndvi
Fort Lauderdale_Fort Lauderdale Beach Park,5.21E-05,1.79E-05,7.81E-05,4.00E-06,2.30E-07,0,0.000104087,0.000125195,3.76E-05,2.77E-05,4.53E-06,1.39E-05,5.16E-06,0,0,1.05E-07,6.95E-05,0.004672897,0.007949173,-0.003276276,0.007062253,-0.002389356,3.99E-05,-0.264176728,1,mean_ndwi
Fort Lauderdale_George English Park,9.04E-06,4.06E-06,2.88E-06,3.78E-07,1.01E-06,0,1.43E-06,5.54E-06,1.25E-08,3.10E-07,8.70E-07,1.13E-06,2.30E-07,0,2.72E-06,3.17E-07,4.10E-06,0,0,0,1.36E-05,-1.36E-05,3.38E-05,-0.015456261,20,area
Fort Lauderdale_Gore Betz Park,0.001468669,0.000395807,0.000253798,0.000128793,3.84E-05,0,0.001847312,0.000637824,1.23E-05,4.88E-05,2.17E-05,0.000578913,3.47E-05,0.000160376,0,0.000160696,0.000690542,0,0.014814815,-0.014814815,0.001637607,-0.001637607,0.000588686,-0.831692457,1,mean_ndvi
Fort Lauderdale_Harbordale Park,0.000736666,0.001690035,0.000522159,4.63E-07,2.34E-05,0,0.001328219,0.000898942,7.04E-06,9.94E-05,0.00014398,0.000113289,3.44E-05,0,0,0.000289286,0.000245151,0,0.055555556,-0.055555556,0.003627126,-0.003627126,0.000637547,-1.174167645,1,tree
Fort Lauderdale_Holiday Park,0.001785507,0.001407042,0.001499666,4.89E-08,9.65E-08,0,0.000953928,0.000924851,5.10E-06,0.000218757,0.000225596,0.001397514,0.000817633,0,0.000367029,0.000309028,0.001018567,0.003378378,0.025,-0.021621622,0.008250268,-0.00487189,0.001172718,-0.321732095,1,area
Fort Lauderdale_Hortt Park,6.70E-05,8.46E-05,3.90E-05,0.00021427,8.07E-05,0,2.96E-05,0.000258985,9.80E-06,8.23E-05,7.66E-05,1.76E-05,0,0.000157149,0,2.16E-05,8.37E-05,0,0.007863248,-0.007863248,0.001183761,-0.001183761,0.000367318,-0.133422735,1,mean_ndwi
Fort Lauderdale_Idlewyld Park-Merle Fogg Park,4.56E-05,1.22E-05,5.75E-05,3.80E-06,4.22E-07,0,0.000133547,0.0001937,3.86E-05,1.03E-05,4.58E-06,1.14E-05,2.71E-06,0,1.75E-07,0,7.57E-05,0,0.000856776,-0.000856776,0.000373316,-0.000373316,4.19E-05,-0.327061299,1,mean_ndwi
Fort Lauderdale_Las Olas Oceanside Park,5.77E-05,7.63E-06,5.82E-05,4.68E-06,9.26E-07,0,0.00011171,0.000141168,2.98E-05,1.91E-05,4.19E-06,6.41E-06,3.35E-06,0,1.79E-07,2.89E-07,8.58E-05,0.021276596,0.001072801,0.020203795,0.013998368,0.007278228,3.93E-05,-0.247099717,1,mean_ndwi
Fort Lauderdale_Lauderdale Manors Park,0.000527005,0.000503014,0.000214609,3.02E-06,1.15E-05,0,0.002182839,0.001428765,0,6.53E-07,1.05E-05,2.39E-05,2.31E-05,0,0,3.71E-05,0.001604187,0,0.016393443,-0.016393443,0.000200883,-0.000200883,0.000870079,-0.300624586,1,mean_ndvi
Fort Lauderdale_Lewis Landing Park,4.82E-06,4.49E-06,0,5.73E-06,3.82E-06,0,0,4.38E-07,0,0,0,0,0,8.84E-06,0,0,1.92E-07,0,0,0,5.77E-05,-5.77E-05,0.00034028,-0.050742824,1,Nature_Preserve
