UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Pembroke Pines_Chapel Trail Nature Preserve,1.76E-05,9.51E-06,2.27E-06,3.00E-05,2.02E-05,0,3.51E-05,3.41E-05,0,2.47E-06,1.87E-05,2.36E-06,8.19E-07,6.92E-06,0,0,3.69E-05,0.006329114,0.008443142,-0.002114028,0.00671755,-0.000388436,1.97E-05,0.250263139,1,Biodiversity
Pembroke Pines_Chapel Trail Park,5.66E-06,1.41E-05,6.69E-07,6.76E-06,1.29E-05,0,9.88E-06,8.62E-07,0,7.92E-07,1.26E-05,7.55E-07,3.40E-07,7.34E-06,0,0,6.78E-06,0,0,0,0,0,2.20E-05,0.163386443,1,tree
Pembroke Pines_Cinnamon Place,0.000474253,0.000323636,0.00036866,0,4.13E-06,0,0.000526205,0.000307105,5.78E-05,1.02E-05,0,0.000222351,4.46E-05,0,0,4.09E-06,0.000301695,0,0.006089744,-0.006089744,0.004019231,-0.004019231,0.000460137,-0.17156656,1,mean_ndvi
Pembroke Pines_Craig Rupp K-9 Dog Park,0.001080336,0.000657493,0.000578597,0.000103047,0.000433538,0,0.001723937,0.000722632,8.22E-05,5.01E-05,2.70E-06,0.000127373,0.000120466,0,8.70E-06,3.11E-05,0.001172939,0.007575758,0.007755619,-0.000179861,0.008272026,-0.000696268,0.000861325,-1.149479655,1,mean_ndvi
Pembroke Pines_Flamingo Park,0.001349978,0.003896868,0.000943133,0.000402437,0.000862396,0,0.001239328,0.001203364,0.000180558,1.71E-05,0.00046202,0.001245512,0,0,0,0.000428898,0.001610379,0.083333333,0.008206628,0.075126705,0.073379967,0.009953366,0.001172698,-1.294331382,1,tree
Pembroke Pines_Fletcher Park,1.28E-05,6.90E-06,3.94E-06,0,0,0,5.23E-05,2.71E-05,0,0,0,1.81E-06,0,0,0,0,4.11E-06,0,0,0,0,0,0.000398008,-0.013378387,1,mean_ndvi
Pembroke Pines_Jack McCluskey Rainbow Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20E-07,0,1,area
Pembroke Pines_Memorial Park,0.000695344,0.000785,0.000844793,2.46E-05,0.000610304,0,0.000725579,0.000686374,0.000612391,7.27E-05,6.21E-06,3.53E-05,0.000274513,0,1.77E-05,0.000202226,0.001508689,0,0.054082896,-0.054082896,0.007643078,-0.007643078,0.001187345,-0.523284021,1,Biodiversity
Pembroke Pines_Pasadena Park,8.86E-06,1.04E-05,2.43E-06,0,6.80E-06,0,1.07E-05,0,0,8.28E-06,1.53E-07,6.46E-07,4.27E-06,0,1.15E-05,1.91E-08,2.11E-05,0,0,0,3.60E-05,-3.60E-05,0.000418431,-0.044214936,2,Biodiversity
Pembroke Pines_Paul J. Maxwell Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2,
Pembroke Pines_Pembroke Lakes Golf and Tennis Center,0.001218301,0.000330164,0.000747525,0.00010294,0.000425157,0,0.001062059,0.000570524,0.000253728,0.000132787,1.22E-05,2.11E-05,0.000144896,0,5.48E-06,5.64E-06,0.001072799,0.018518519,0.046703297,-0.028184778,0.021545814,-0.003027295,0.00118908,-0.497741755,1,area
Pembroke Pines_Pines Recreation Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Pembroke Pines_Rose G. Price Park,1.67E-05,8.14E-06,1.48E-06,1.64E-05,2.11E-05,0,3.57E-05,3.96E-05,1.07E-07,6.28E-07,2.09E-05,3.22E-07,6.95E-06,1.19E-05,0,0,2.36E-05,0,0,0,4.75E-05,-4.75E-05,2.19E-05,0.167577713,1,mean_ndwi
Pembroke Pines_Silver Lakes Park South,1.63E-06,2.86E-06,0,1.44E-06,3.23E-06,0,9.35E-07,6.34E-08,0,1.87E-07,1.58E-06,7.74E-07,1.09E-06,2.46E-06,0,0,2.35E-06,0,0,0,0,0,2.75E-06,-0.031460776,1,herbaceous_wetland
Pembroke Pines_Spring Valley Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42E-07,0,1,area
Pembroke Pines_Steven L. Josias Dog and Equestrian Park,7.11E-06,2.88E-05,6.02E-06,1.97E-05,1.97E-05,0,4.40E-05,3.64E-05,1.18E-07,1.23E-06,1.04E-05,1.32E-07,3.56E-08,6.38E-06,5.42E-07,0,3.39E-05,0,0.000197785,-0.000197785,7.91E-06,-7.91E-06,2.17E-05,0.175256943,1,mean_ndvi
Pembroke Pines_Tanglewood Park,0.001533946,0.001475736,0.001273936,4.71E-05,7.00E-05,0,0.001862919,0.002364889,0.000465044,0.000174446,2.54E-05,0.000242795,0.000376412,0,5.40E-05,0.000307984,0.002463656,0.076923077,0,0.076923077,0.066326777,0.0105963,0.000952166,-1.376179138,1,Biodiversity
Pembroke Pines_Towngate Park,0.000211323,4.50E-05,0.000396942,1.02E-07,0.000267791,0,0.00025836,7.23E-06,3.99E-06,0,1.97E-07,2.65E-06,0,0,0,2.01E-08,1.58E-05,0,0.00462963,-0.00462963,0.000734284,-0.000734284,0.000506404,-0.096241769,1,grassland
Pembroke Pines_Walnut Creek Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20E-07,0,1,area
