UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Pompano Beach_Highlands Park,0.118726659,0.060827132,0.082125714,0,0.028604337,0,0.122017525,0.124359968,0.026140039,0.060864559,0,0.037495461,0.022647401,0.01302804,0.001211095,0.005089442,0.093677222,0.294117647,0.717480035,-0.423362388,0.371255963,-0.077138316,0.092382045,-0.259719122,1,mean_ndwi,,,,
Pompano Beach_Hillsboro Inlet Park,0.059918636,0.050606683,0.039111371,0.004355705,0.00898954,0,0.022861971,0.071681492,0.015572471,0.016822151,0,0.011848771,0.064980855,0.002346162,0.003947979,0.013462222,0.019641405,0.25,0.307401717,-0.057401717,0.256037011,-0.006037011,0.051485249,0.198177545,1,mean_ndwi,,,,
Pompano Beach_Hunters Manor Park,0.071506851,0.027887282,0.058710289,0.000387608,0.019845302,0,0.041623924,0.032279276,0.024843486,0.021536348,0.001859482,0.012436141,0.020071291,0,0.000641321,0.048566356,0.097574048,0.705882353,0.767857143,-0.06197479,0.709089838,-0.003207485,0.079451434,-0.399385799,1,Biodiversity,,,,
Pompano Beach_Indian Mound Park,0.134826586,0.113256881,0.03353193,0.001201935,0.009678037,0,0.076701946,0.159658495,0.01571242,0.216241847,0.001689493,0.071867558,0.184708128,0,0.002263369,0.006563032,0.116072159,0.303571429,0.117698464,0.185872965,0.273441043,0.030130386,0.074630897,0.06575507,1,Kids_Playground,,,,
Pompano Beach_McNab Park,0.120602898,0.047680471,0.062093282,0.002797866,0.009472585,0,0.098038419,0.202704481,0.022419877,0.150079871,0,0.049060903,0.156775539,0,0.007069276,0.085922505,0.175984247,0.9,0.552107985,0.347892015,0.803304567,0.096695433,0.07227501,0.058938569,1,mean_ndwi,,,,
Pompano Beach_McNair Park & Recreation Center,0.021068955,0.019437978,0.070024591,0.001025044,0.036440251,0,0.022480005,0.007499693,0.034773298,0.004828597,0.00306781,0.004642584,0.00527988,0.001466709,0.002709936,0.005701751,0.038419512,0.8,0.586607143,0.213392857,0.802682948,-0.002682948,0.057545557,-0.145235337,1,grassland,,,,
Pompano Beach_Mitchell Moore Park-Westside Park,0.115876657,0.033754295,0.1323261,0,0.025741497,0,0.051689151,0.062409425,0.023505209,0.037341145,0,0.026868034,0.038000938,0.00064821,0.01869454,0.076698523,0.079261296,0.535714286,0.69258242,-0.156868134,0.550868906,-0.01515462,0.106798691,-0.446249106,1,grassland,,,,
Pompano Beach_North Ocean Park,0.090845175,0.063568881,0.030555629,0.008274303,0.005123318,0,0.032679355,0.085441631,0.027997217,0.026658298,0,0.042319135,0.067627194,0,0.00259558,0.021692834,0.048967592,0.287671233,0.197330234,0.090340999,0.264893853,0.02277738,0.065103254,0.042534959,1,area,,,,
Pompano Beach_North Pompano Park,0.114971136,0.027425206,0.106012913,0,0.010436708,0,0.074046351,0.099018668,0.011420749,0.009546872,0,0.018391609,0.004244699,0.00740952,4.49E-05,0.000429638,0.045825746,0.769230769,0.654327344,0.114903425,0.750505426,0.018725343,0.064438714,-0.096693694,1,area,,,,
Pompano Beach_Sand and Spurs Equestrian Park,0.141243168,0.035991452,0.163617511,0.000291757,0.042607789,0,0.065695747,0.096026802,0.030945365,0.013126895,0,0.01448285,0.028626024,0.006210642,0.058582557,0.04129231,0.079338839,0.5,0.377456991,0.122543009,0.499260113,0.000739887,0.115990638,-0.441672433,1,grassland,,,,
