UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Cooper City_Memorial Park,3.50E-06,1.93E-06,8.95E-07,3.09E-06,1.73E-06,0,2.70E-06,1.04E-06,0,0,1.35E-07,1.14E-08,4.32E-08,0,0,5.79E-08,1.81E-06,0,0,0,0,0,1.61E-06,-0.027913304,1,area
Cooper City_Natalie's Cove Park,4.39E-05,2.79E-05,2.25E-05,0,5.48E-05,0,3.56E-05,3.05E-05,0,4.52E-05,5.29E-06,0,2.89E-06,4.94E-05,0,0,1.68E-06,0,0,0,6.58E-05,-6.58E-05,3.85E-05,-0.200039538,1,herbaceous_wetland
Cooper City_Pine Lake Park,5.44E-06,6.72E-06,5.07E-06,3.31E-06,5.84E-06,0,8.85E-06,2.73E-06,0,0,1.83E-07,0,6.28E-08,2.76E-06,0,2.48E-07,3.78E-06,0,0,0,0,0,1.97E-05,0.072709778,1,mean_ndvi
Cooper City_Pool & Tennis Center Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62E-05,1.11E-16,1,area
Cooper City_Stirling Palm Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Cooper City_Suellen H. Fardelmann Sports Complex,0,0,0,0,0,0,0,3.23E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62E-05,-3.81E-05,1,mean_ndwi
Cooper City_Tamarind Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Cooper City_Ted Ferone Park,3.14E-07,3.30E-07,1.10E-07,3.30E-07,2.20E-07,0,1.10E-07,2.20E-07,0,0,0,0,0,0,0,0,2.20E-07,0,0,0,0,0,1.57E-06,-0.002392028,1,tree
Coral Springs_Betti Stradling Park,2.13E-06,1.08E-05,3.76E-06,0,2.84E-06,0,3.09E-06,1.42E-06,2.90E-07,1.67E-07,1.83E-06,3.83E-07,1.80E-07,3.66E-07,0,1.25E-05,8.79E-06,0.004651163,0,0.004651163,0.003993023,0.00065814,2.65E-06,-0.838335,1,Indoor_Outdoor_fitness_center
Coral Springs_Castlewood Park,2.47E-07,1.51E-06,2.01E-06,0,2.60E-06,0,2.75E-07,9.15E-07,0,1.50E-07,1.98E-07,1.35E-07,6.42E-08,0,0,3.06E-06,4.76E-07,0,5.54E-05,-5.54E-05,1.26E-05,-1.26E-05,2.10E-06,-0.457283949,1,Indoor_Outdoor_fitness_center
Coral Springs_Coral Springs Aquatic Complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coral Springs_Countrywood Park,0,0,0,0,0,0,0,0,0,0,3.07E-06,0,0,0,0,0,0,0,0,0,0,0,4.38E-05,1.11E-16,1,Body_of_water
Coral Springs_Cypress Hammock,8.44E-06,3.00E-05,2.93E-06,0,6.57E-06,0,1.13E-05,1.53E-06,0,3.29E-07,0,0,3.75E-06,0,1.76E-05,2.74E-06,3.07E-06,0,0,0,8.55E-05,-8.55E-05,4.57E-05,-0.042260485,1,tree
Coral Springs_Cypress Park,5.86E-06,3.21E-05,3.07E-06,0,1.40E-05,0,2.36E-05,6.47E-06,0,1.04E-06,6.03E-07,0,5.79E-07,0,4.45E-05,0,2.50E-07,0,0.00534188,-0.00534188,0.000583333,-0.000583333,4.69E-05,-0.068934625,1,Dog_Park
Coral Springs_Dede Gilmore Memorial Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coral Springs_Eagle Ridge Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coral Springs_Fern Glen Park,5.77E-06,1.06E-05,0,0,8.62E-06,0,1.30E-06,1.01E-05,0,4.02E-06,7.53E-09,0,6.49E-06,4.50E-06,0,0,8.99E-06,0,0.001010101,-0.001010101,8.08E-05,-8.08E-05,3.11E-06,-0.269108395,1,tree
Coral Springs_Forest Hills Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45E-06,-2.22E-16,1,area
Coral Springs_Forest Hills West Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coral Springs_Lakeview Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coral Springs_Lions Park,6.65E-06,2.14E-06,2.94E-07,0,1.02E-06,0,4.73E-06,5.12E-06,9.42E-09,5.79E-07,3.15E-07,3.37E-08,7.67E-07,1.01E-06,7.53E-09,0,4.09E-06,0,0,0,0,0,2.64E-06,-0.076883492,1,area
Coral Springs_Mullins Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coral Springs_North Community Park,1.41E-06,8.35E-06,2.51E-06,0,2.80E-06,0,1.53E-06,1.40E-06,1.44E-07,4.33E-08,4.92E-07,8.01E-07,3.90E-07,0,0,8.36E-06,3.93E-06,0,0.002269204,-0.002269204,0.000274806,-0.000274806,2.34E-06,-0.623612519,1,Indoor_Outdoor_fitness_center
Coral Springs_Orchid Park,2.44E-06,3.58E-05,8.16E-06,0,1.55E-05,0,1.70E-05,8.36E-06,0,3.94E-06,0,0,1.10E-06,0,2.10E-05,0,8.44E-06,0,0,0,0.000275641,-0.000275641,4.60E-05,-0.049531607,1,tree
Coral Springs_Paul Barre Memorial Park,1.07E-05,1.03E-05,4.18E-07,0,4.55E-06,0,1.24E-06,1.02E-05,0,4.56E-06,0,4.29E-08,5.19E-06,7.27E-06,0,0,8.60E-06,0,0,0,1.21E-05,-1.21E-05,3.01E-06,-0.230963172,1,area
Coral Springs_Paul Britton Park,9.80E-07,7.71E-06,2.22E-06,1.22E-07,8.96E-07,0,3.04E-06,2.16E-06,0,0,6.09E-07,6.86E-07,0,0,0,8.40E-06,4.28E-06,0,0,0,4.73E-05,-4.73E-05,2.79E-06,-0.932272654,1,Indoor_Outdoor_fitness_center
Coral Springs_Poinciana Park,1.11E-06,7.70E-07,4.24E-06,0,4.23E-06,0,1.33E-06,3.81E-07,3.65E-07,1.62E-08,0,7.21E-09,6.61E-09,3.09E-07,0,4.05E-06,6.58E-07,0,0,0,0,0,2.37E-06,-0.645731517,1,grassland
Coral Springs_Pride Promoters Park,6.19E-06,4.44E-06,8.57E-08,0,1.25E-06,0,3.05E-06,5.51E-06,2.45E-07,1.57E-07,0,1.68E-08,3.21E-07,9.55E-07,0,0,6.73E-06,0,0,0,0,0,4.01E-06,-0.106906037,1,Biodiversity
Coral Springs_Ralph Diaz Memorial Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,
Coral Springs_Riverside Park,6.46E-05,2.86E-05,2.95E-05,0,2.53E-05,0,4.23E-05,3.16E-05,1.20E-05,1.56E-06,2.48E-05,0,8.83E-06,1.61E-05,0.000122354,0,3.81E-05,0,0.003968254,-0.003968254,0.000427942,-0.000427942,7.18E-05,-0.269281873,1,Dog_Park
Coral Springs_Sandy Ridge Sanctuary,1.76E-06,2.22E-06,1.66E-06,0,1.55E-06,0,1.44E-06,1.30E-06,2.62E-09,2.43E-08,3.06E-09,3.61E-09,7.82E-08,4.74E-07,0,1.71E-06,1.53E-06,0,0.001515152,-0.001515152,0.000283697,-0.000283697,3.96E-06,-0.093966572,1,tree
Coral Springs_Sherwood Forest Park,0,8.77E-07,0,0,0,0,8.77E-07,3.29E-07,0,0,0,0,0,0,3.07E-06,0,3.18E-06,0,0,0,2.56E-05,-2.56E-05,4.39E-05,-0.000530439,1,Biodiversity
Coral Springs_Sportsplex Athletic Complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44E-06,0,1,area
Coral Springs_Three Friends Park,0,0,0,0,4.69E-08,0,1.44E-08,0,0,0,0,0,0,0,0,1.98E-08,0,0,0,0,4.65E-06,-4.65E-06,1.44E-06,-1.78E-05,1,herbaceous_wetland
