UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor
Plantation_Hoffman Park,0.003931063,0.001907669,0.003867985,0.003265081,0.002660843,0,0.000402815,0.000749621,0.000636406,0,1.33E-07,7.63E-05,0.000161214,0,0,0.000197637,0.003920739,0,0.047619048,-0.047619048,0.003814568,-0.003814568,0.00153507,-0.132904953,1,area
Plantation_Jacaranda Lakes Park,0.00047073,0.000439504,0.000576859,1.24E-06,0.000243943,0,0.000593672,0.000649965,0.000302571,1.40E-05,1.52E-05,0.000137832,4.66E-05,0,0,8.09E-05,0.001294044,0.047619048,0,0.047619048,0.04052381,0.007095238,0.000305641,-1.028014377,1,Biodiversity
Plantation_Jack Carter Harmony Park,0.000571429,0.000113946,0.000938776,0.001006803,0.000462585,0,0.000195578,6.29E-05,0,0,8.50E-05,0,0,0,0,0,0.000285714,0,0,0,0,0,0.001363966,-0.002514841,1,water
Plantation_Jim Ward Park,6.27E-06,8.82E-06,1.85E-06,0,4.78E-06,0,2.63E-07,5.19E-06,6.49E-08,1.93E-08,4.73E-08,1.17E-06,1.61E-06,0,0,6.03E-08,5.29E-06,0,0,0,7.06E-06,-7.06E-06,3.57E-06,-0.679329512,1,tree
Plantation_Marcano Estates Park,0.001452587,0.000957609,0.001932567,0.000286541,0.001912299,0,0.000183084,0.000619181,2.08E-05,1.95E-05,0,9.43E-05,1.81E-05,0,0,8.68E-05,0.002825926,0,0.016029953,-0.016029953,0.003025962,-0.003025962,0.001286624,0.105770551,1,Biodiversity
Plantation_Mirror Lake Park,0.000574203,0.000598227,0.001043666,0.000422485,0.000415298,0,2.38E-05,7.41E-05,4.18E-07,0,0,9.87E-05,3.78E-06,0,0,5.43E-05,0.000718839,0,0.000719055,-0.000719055,0.00025148,-0.00025148,0.001431234,0.005263631,1,grassland
Plantation_PAL Park-Roy Salmon Stadium,0.001248166,0.002816035,0.001388901,0.001872224,0.001727819,0,0.000201193,1.62E-05,0.000132734,1.42E-07,0,6.42E-05,4.31E-05,0,0,4.37E-05,0.00172162,0,0.001008878,-0.001008878,0.000413506,-0.000413506,0.001332522,0.01657821,1,tree
Plantation_Park East Park,3.09E-06,9.31E-06,7.85E-07,0,2.63E-06,0,6.98E-07,4.76E-06,0,9.47E-08,2.66E-09,1.53E-06,2.41E-06,0,0,6.77E-08,9.13E-06,0,0.000260756,-0.000260756,5.70E-05,-5.70E-05,2.73E-06,-0.283220063,1,tree
Plantation_Pine Island Park,0.007414211,0.001004419,0.007180226,0.001966742,0.004929511,0,0.00103035,0.000580811,0.000509679,0.000262535,3.06E-05,0,0.001164075,0,0,0.00012598,0.008490568,0,0,0,0.000428571,-0.000428571,0.001637206,-0.131505066,1,Biodiversity
Plantation_Plantation Central Park,0.002091038,0.000359257,0.00193811,0.000295148,0.001131276,0,0.000312301,0.000679377,0.000232931,1.25E-05,3.85E-05,2.65E-06,0.000142369,0,0,0.000159491,0.002403274,0,0.022857143,-0.022857143,0.003922222,-0.003922222,0.001408984,0.020796088,1,Biodiversity
Plantation_Plantation Preserve Park & Linear Trail,0.009617142,0.003631058,0.005539504,0.008341979,0.006185557,0,0.0016914,0.000794806,0.001235993,0.000541592,0.000229592,0.000272961,0.000416077,0,0,0.000562209,0.008471145,0.142857143,0.00141243,0.141444714,0.136633172,0.006223971,0.001495164,-0.103454039,1,area
Plantation_Plantation Woods-Kennedy Park,0.001210651,0.001254936,0.001846851,0.002458176,0.00178662,0,1.22E-06,9.97E-05,6.30E-07,5.24E-07,1.33E-07,3.45E-05,8.60E-05,0,0,1.24E-05,0.001888574,0.005649718,0,0.005649718,0.00534349,0.000306228,0.001333166,0.016103378,1,water
Plantation_Pop Travers Park,0.00244898,0.000982143,0.002343537,0.003319728,0.001646259,0,0.000332483,0.000335034,0.000163265,0,4.54E-06,0,6.80E-05,0,0,0.000423469,0.003005669,0,0,0,0,0,0.001398222,-0.02769302,1,water
Plantation_Rae Carole Armstrong Liberty Tree Park,0.003577072,0.00289158,0.003886908,0.00310242,0.004004526,0,0.000552219,0.000246253,9.27E-07,0.000175703,1.52E-08,0.000107902,0.000493106,0,0,7.84E-05,0.005462148,0,0.001259416,-0.001259416,0.001502623,-0.001502623,0.001543404,-0.072696976,1,Biodiversity
Plantation_Seminole Park,0.003129252,0.001193392,0.005377551,0.002690841,0.002231293,0,0.000163751,0.00080102,1.02E-05,0,0,0.000359694,0.000180758,0,0,3.74E-05,0.004204082,0,0.015873016,-0.015873016,0.003202381,-0.003202381,0.001406269,-0.037847939,1,grassland
Plantation_Sunset Park,0.000113368,0.000164616,0.000486563,1.68E-05,0.000155171,0,0.000190969,0.000299567,0.00011229,0,2.22E-05,7.20E-08,3.50E-05,0,0,0.000108236,0.000419459,0,0.001355219,-0.001355219,0.000118056,-0.000118056,0.000258859,-0.717602607,1,grassland
Plantation_Tara Park,2.69E-06,2.25E-06,5.30E-07,3.06E-06,3.14E-06,0,5.68E-07,6.76E-08,2.78E-07,0,2.76E-07,3.74E-09,5.92E-08,0,0,0,1.34E-06,0,0,0,3.33E-05,-3.33E-05,0.000153169,-0.016317093,1,herbaceous_wetland
Plantation_Volunteer Park,0.000157668,5.64E-05,0.000241941,2.71E-05,3.95E-05,0,2.35E-05,0.00031699,2.68E-05,9.05E-07,7.03E-06,2.65E-07,0,0,3.22E-08,4.00E-05,0.000116332,0.005555556,0,0.005555556,0.005111175,0.000444381,0.000200306,-0.336804961,1,mean_ndwi
Pompano Beach_Annie Adderly Gillis Park,3.74E-05,1.13E-05,1.52E-05,0,1.72E-06,0,1.46E-05,0.000106387,1.77E-06,1.59E-06,0,1.87E-06,4.28E-06,2.17E-05,0,3.45E-06,3.83E-05,0,0,0,0.000466287,-0.000466287,0.000272252,-0.07607962,1,mean_ndwi
Pompano Beach_Bill Keith Park,0.000104632,3.35E-05,9.49E-05,0,1.17E-06,0,7.98E-05,0.000315171,1.32E-06,3.21E-05,0,4.03E-07,1.04E-05,0,0,1.08E-06,6.46E-05,0,0.002216749,-0.002216749,0.001435587,-0.001435587,0.000302013,-0.193708657,1,mean_ndwi
Pompano Beach_Canine Corner Dog Park,0.000114745,8.63E-05,7.31E-05,0,6.38E-07,0,5.94E-05,5.58E-05,8.99E-06,1.39E-06,0,2.39E-07,0,0,3.48E-07,0,6.69E-05,0,0.001488095,-0.001488095,0.000223214,-0.000223214,0.000277303,-0.096042676,1,area
Pompano Beach_Exchange Club Park,0.000201225,0.000213337,6.22E-05,0,3.88E-07,0,4.10E-06,1.29E-05,2.68E-06,9.71E-07,0,2.39E-05,1.44E-07,0.000180971,0,0,2.89E-05,0,0.003623188,-0.003623188,0.000897426,-0.000897426,0.000153756,0.195062034,1,tree
Pompano Beach_Founders Park,6.54E-05,6.03E-05,0.000115947,0,6.38E-07,0,2.13E-05,0.00021646,2.06E-06,1.73E-06,0,2.39E-07,9.82E-06,0,0,3.48E-07,7.76E-05,0,0.004464286,-0.004464286,0.001245536,-0.001245536,0.000286959,-0.134207424,1,mean_ndwi
Pompano Beach_Harbor's Edge Park,0.000101677,7.78E-05,9.87E-05,0,5.98E-06,0,8.25E-05,0.000100583,6.62E-05,3.79E-05,0,1.47E-07,1.91E-06,1.77E-05,3.07E-07,0,0.000132452,0,0.001547106,-0.001547106,0.001854372,-0.001854372,0.000393894,-0.149832577,1,Biodiversity
Pompano Beach_Highlands Park,0.000494239,0.000226656,0.000358832,0,1.75E-05,0,2.21E-05,1.04E-05,8.78E-07,9.71E-05,0,1.98E-06,8.82E-06,0.000102304,1.42E-06,1.55E-06,0.000333992,0,0,0,0,0,0.00428623,-0.023168921,1,area
Pompano Beach_Hillsboro Inlet Park,5.15E-05,5.29E-05,3.53E-05,0,0,0,0,2.52E-06,0,0,0,0,3.87E-07,4.39E-05,0,0,0,0,0,0,0,0,0.000193925,-0.015229981,1,tree
Pompano Beach_Hunters Manor Park,9.33E-07,1.80E-06,4.67E-07,2.73E-06,1.40E-06,0,4.67E-07,4.67E-07,0,0,4.67E-07,0,0,0,0,0,1.40E-06,0,0,0,0,0,6.69E-06,-0.003228653,1,water
Pompano Beach_Indian Mound Park,0.000936828,0.000731483,0.000552343,1.37E-06,5.08E-05,0,0.000936264,0.000742553,0.000156111,0.000253833,0,9.89E-05,0.000157235,0,3.07E-06,0,0.000753182,0.053571429,0,0.053571429,0.041030613,0.012540816,0.000391687,-1.047216986,1,area
Pompano Beach_McNab Park,0.000374755,0.000321566,0.000402976,7.99E-06,6.17E-06,0,0.000426647,0.000312255,2.73E-05,4.27E-05,0,6.57E-05,9.75E-06,0,1.22E-05,1.02E-06,0.000452891,0,0.019553572,-0.019553572,0.004607143,-0.004607143,0.000338429,-0.768853712,1,Biodiversity
Pompano Beach_McNair Park & Recreation Center,6.73E-06,6.68E-06,1.17E-05,7.40E-06,4.60E-06,0,7.83E-06,5.57E-06,2.22E-08,0,2.08E-07,0,0,0,0,2.25E-07,5.33E-06,0,0,0,0,0,7.34E-06,-0.101026253,1,grassland
Pompano Beach_Mitchell Moore Park-Westside Park,0.000154174,8.18E-05,8.08E-06,0,0,0,0.000102061,3.17E-06,1.54E-06,4.42E-06,0,5.10E-06,1.39E-06,7.49E-05,0,1.44E-07,3.23E-05,0,0.003078818,-0.003078818,0.00037069,-0.00037069,8.12E-05,0.017186722,1,area
Pompano Beach_North Ocean Park,6.66E-05,5.99E-05,3.70E-05,0,2.22E-05,0,1.14E-05,4.27E-05,4.75E-05,4.92E-06,0,5.97E-06,2.39E-07,0,0,0,5.68E-05,0,0.004120879,-0.004120879,0.001433036,-0.001433036,0.000390898,-0.141087553,1,area
Pompano Beach_North Pompano Park,0.000569649,0.000458611,0.000689055,0,1.51E-05,0,6.78E-05,7.42E-05,1.80E-07,0.000242751,0,6.99E-05,2.94E-05,0.000121407,0,0,0.000523983,0,0.008454106,-0.008454106,0.000380435,-0.000380435,0.00019128,-0.001381913,1,grassland
Pompano Beach_Sand and Spurs Equestrian Park,0.000192281,0.000182224,5.90E-06,0,3.68E-06,0,9.12E-05,5.60E-05,2.59E-06,4.46E-07,0,0.00013817,4.95E-06,0.00026952,0,0,0.000162092,0,0,0,0,0,0.000139187,0.271331321,1,Nature_Preserve
