UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Lauderdale by the Sea_El Prado Park,0.008504438,0.002743645,0.006292453,0.000367743,0.000811408,0,0.017414767,0.009653806,0.000977469,0.006213332,0.002719455,0.000421609,0.002123459,0,0,0.000880948,0.002532496,0.180904523,0.077272727,0.103631796,0.164590405,0.016314118,0.005082792,-0.158191876,1,mean_ndvi,,,,
Lauderdale by the Sea_Friedt Park,0.007792761,0.001380583,0.003545462,0.000228941,0.001077443,0,0.014622508,0.009349451,0.000952677,0.007818027,0.004314157,0.00085949,0.002644821,0,0,0.000700969,0.004217475,0,0.116859888,-0.116859888,0.012205783,-0.012205783,0.00500916,-0.14141379,1,mean_ndvi,,,,
Lauderdale Lakes_Vincent Torres Memorial Park,0.003727365,0.006865046,0.008191485,0.000263672,0.000290571,0,0.001420344,0.002129146,2.05E-05,0.000211249,0.000220547,0.000986849,0.000246731,8.40E-05,0,0.001067206,0.002243455,0.1,0.050670904,0.049329096,0.090854864,0.009145136,0.002326568,0.081366248,1,grassland,,,,
"Lauderdale Lakes_Willie L. Webb, Sr. Park",0.001398921,0.001159844,0.003904943,7.50E-05,7.28E-05,0,0.001763288,0.001330446,3.61E-05,0.000300745,0.00041015,0.000675507,0.000328667,0,0,0.000495643,0.002617595,0,0.058823529,-0.058823529,0.00265022,-0.00265022,0.001818555,-0.594314128,10,grassland,,,,
Lauderhill_Herbert Sadkin Community Center,0.010649093,0.025622664,0.010567056,0.000262748,0.000839073,0,0.016301322,0.021325506,0.000176139,0.001400723,0.001255727,0.001238259,0.000309794,0,0,0.006194727,0.023366802,0,0.083210198,-0.083210198,0.020492874,-0.020492874,0.011914332,-0.395140998,1,tree,,,,
Lauderhill_Ilene Lieberman Botanical Gardens,0.000694604,0.001004284,0.000973712,6.27E-05,0.000646425,0,0.000886293,0.001202261,0.000457057,0.000154441,0.000104693,0.000235023,0.000567337,0,0,0.000300068,0.00161146,0.058823529,0.028593629,0.0302299,0.055800429,0.0030231,0.001643307,-0.001740181,1,Biodiversity,,,,
Lauderhill_Jackie Gleason Park,0.000854718,0.001388986,0.002056919,8.71E-05,0.000369026,0,0.000765864,0.000746478,0.001751362,0.000110141,0.000178376,0.001088432,0.00043735,0,0,0.000186491,0.000752389,0.060606061,0.052727273,0.007878788,0.060308717,0.000297344,0.001706035,-0.047058944,1,grassland,,,,
Lauderhill_James D. Bradley Jr. Park,0.003437087,0.007569142,0.007111012,0.000265352,0.000448529,0,0.001465547,0.001699131,3.75E-05,0.000138477,0.000212361,0.000383234,5.83E-05,0,0,0.000349933,0.001975225,0,0.006336054,-0.006336054,0.000760597,-0.000760597,0.005916333,-0.016874055,1,tree,,,,
Lauderhill_John E. Mullin Park & The Lauderhill Aquatic Center,0.004242755,0.003739738,0.004029301,0.000465001,0.001235697,0,0.024603971,0.006892077,0.000506641,0.000110379,0.002206494,0.001296557,0.000291523,0,0,0.000382941,0.013626969,0,0,0,0.001994365,-0.001994365,0.008173599,-0.067347965,6,mean_ndvi,,,,
Lauderhill_Lauderhill Sports Park,0.000870497,0.000398222,0.000542881,0,0.00104122,0,0.000691401,0.001270247,0.001165912,0.00021811,0.000215563,0.000857531,0.000517422,0,0,9.98E-05,0.001158998,0.051282051,0.035400461,0.01588159,0.049251662,0.002030389,0.002274777,-0.0310754,1,mean_ndwi,,,,
