UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Davie_East Davie Nature Park,0.198414306,0.117186249,0.140256996,0.023135186,0.050844608,0,0.069559382,0.113752168,0.012453621,0.019558839,0.022977769,0.02154128,0.030691469,0.006185504,0,0.001285801,0.062399605,0.647058824,0.543321103,0.103737721,0.632494269,0.014564555,0.064759681,-0.111204019,1,area,,,,
Davie_Firefighters Park,0.062828504,0.038424739,0.022674437,0.002296671,0.007564414,0,0.022677918,0.023512758,0.033917333,0.006872848,0.003807248,0.008886458,0.004881827,0.00183759,0,0.000826154,0.031836815,0.666666667,0.412925271,0.253741396,0.624867029,0.041799638,0.0369388,0.205667517,1,area,,,,
Davie_Lange Park,0.107480363,0.053303481,0.052175269,0.002620644,0.035762967,0,0.023024579,0.038965329,0.014908468,0.009241263,0.010952656,0.008374504,0.015287174,0.0006062,0,0.002419718,0.055684089,0.333333333,0.629559234,-0.296225901,0.376914856,-0.043581523,0.053673577,0.06786305,1,area,,,,
Davie_Liberty Park,0.029000738,0.02347941,0.016926167,0.042325185,0.1188649,0,0.092385105,0.023526169,0.00833017,0.091053278,0.037032948,0.007813751,0.057673729,0,0.002434,0.019420182,0.041825212,0.571428571,0.537041409,0.034387162,0.567693565,0.003735006,0.056814265,0.06341554,1,herbaceous_wetland,,,,
Davie_Math Igler Citrus Park,0.140234226,0.109377115,0.160143249,0.003609412,0.099623852,0,0.063189175,0.046694531,0.015938934,0.107408933,0.00386742,0.017760332,0.00522158,0.108066089,0.012766104,0.000730465,0.071514391,0.9375,0.620486637,0.317013363,0.886404647,0.051095353,0.104582008,-0.359138523,1,grassland,,,,
Davie_Oak Hill Equestrian Park,0.087814837,0.161421443,0.138255717,0.002097997,0.093592784,0,0.077774803,0.053912059,0.014788102,0.033884233,0.026130062,0.063897068,0.01137792,0.015178827,0.010911181,0.001916656,0.07573486,0.647058824,0.43511885,0.211939974,0.624969837,0.022088987,0.08999986,-0.373628474,1,tree,,,,
Davie_Orange Drive Linear Park,0.083343816,0.080270979,0.031685143,0.00187445,0.023586982,0,0.051915844,0.025422756,0.022991099,0.006453076,0.004156049,0.031440955,0.008826758,0.005062888,0.004146281,0.012810109,0.052414535,0.333333333,0.321348722,0.011984611,0.326027975,0.007305358,0.06857995,-0.039083501,1,area,,,,
Davie_Owls Lookout Park,0.084703404,0.136041859,0.176594219,0.000110916,0.122374221,0,0.084280838,0.060760666,0.016448429,0.058882159,0.011175244,0.054824666,0.009420265,0.027447521,0.013369705,0.000103857,0.051898243,0.2,0.563957247,-0.363957247,0.253217017,-0.053217017,0.099742786,-0.395133851,1,grassland,,,,
Davie_Peaceful Ridge Park,0.098074518,0.190393201,0.155303194,0,0.095731853,0,0.096263555,0.075309292,0.013531517,0.035349386,0.022228463,0.077277501,0.008846432,0.024827961,0.010495939,0,0.079063639,0.717391304,0.440521364,0.27686994,0.684446042,0.032945262,0.099446894,-0.425743342,1,tree,,,,
Davie_Potter Park,0.110431837,0.07395044,0.074975266,0.010088542,0.038507883,0,0.052623921,0.080857363,0.09859377,0.027102395,0.013865746,0.007634558,0.005810905,0.000855013,0,0.003711116,0.052342225,0.5,0.62679785,-0.12679785,0.521653737,-0.021653737,0.073106489,-0.182978466,1,area,,,,
Davie_Reflections Park,0.141529468,0.151383189,0.158493438,0.00733648,0.091899936,0,0.063089216,0.071391483,0.001006083,0.012508442,0.017653973,0.041567509,0.017047099,0.004133969,0.005080939,0.029965374,0.091982277,0.535714286,0.663571239,-0.127856953,0.579054854,-0.043340568,0.090589422,-0.197892353,1,grassland,,,,
Davie_Robbins Preserve,0.097207045,0.26917315,0.069309895,2.44E-05,0.026215857,0,0.08746006,0.159327559,0.023671397,0.010189629,0.007201528,0.04035456,0.022449965,0.009247858,0.010225843,0.004494446,0.134255488,0.641975309,0.209356725,0.432618584,0.621686813,0.020288496,0.113455135,-0.689201736,1,tree,,,,
Davie_Shenandoah Park,0.025339834,0.046156838,0.023309038,0.05538196,0.081926267,0,0.093157641,0.087566534,0.026048629,0.169269167,0.03796759,0.006103417,0.050625255,0,0.009294025,0.012652111,0.047899849,0.610526316,0.523487594,0.087038722,0.595712929,0.014813387,0.063412236,-0.021185213,1,Kids_Playground,,,,
Davie_Silver Lake Park,0.208339217,0.091644464,0.107356496,0.093349975,0.05086249,0,0.112229641,0.090568595,0.018618155,0.028590854,0.028882603,0.02431158,0.019712832,0.000629942,0.006664538,0.004601853,0.057327014,0.297297297,0.445485105,-0.148187808,0.304843507,-0.00754621,0.087322074,-0.512814968,1,area,,,,
Davie_Sunny Lake Bird Sanctuary,0.194474167,0.085638344,0.080696883,0.03725948,0.041118702,0,0.072219981,0.07534293,0.087128985,0.038369968,0.014936903,0.009119103,0.006260011,0.004553803,0.004467415,0.011095469,0.062314352,0.263157895,0.593735086,-0.330577191,0.32922175,-0.066063855,0.076006835,-0.223356532,1,area,,,,
